first_name,last_name,start_date,exit_date,job_title,supervisor,business_unit,employee_status,employee_type,termination_type,department_type,division,date_of_birth,state,gender_code,performance_score,current_employee_rating,employee_id,engagement_score,satisfaction_score,work_life_balance_score,training_date,training_program_name,training_type,training_outcome,trainer,training_duration_days,training_cost
Aaden,Mercer,2023-07-26,NULL,"Production Technician I","Victoria Jacobs",EW,Active,Part-Time,Unk,Production,Splicing,1983-09-25,MA,Female,"Fully Meets",3,1808,5,2,4,2022-10-12,"Customer Service",External,Passed,"Michael Frazier",1,147.08
Aaliyah,Watts,2020-05-09,NULL,"Production Technician I","Jared Whitehead",EW,Active,Contract,Unk,Production,Fielders,1962-04-11,MA,Male,"Fully Meets",3,3783,3,4,3,2023-01-25,"Technical Skills",External,Completed,"Amanda Miller",5,851.24
Aarav,Espinoza,2019-11-11,NULL,"Production Technician I","David Ali",WBL,Active,Part-Time,Unk,Production,Engineers,1999-12-15,MA,Male,"Fully Meets",2,2956,5,4,1,2022-10-13,"Customer Service",External,Passed,"Veronica Ross",3,474.15
Aaron,Tapia,2023-01-20,NULL,"Production Technician II","Michael Reed",TNS,Active,Contract,Unk,Production,Splicing,2001-01-18,MA,Male,"Fully Meets",3,1538,2,4,5,2022-10-21,"Leadership Development",External,Failed,"Heather Tucker",3,854.47
Aaron,Weber,2020-04-06,2023-07-24,"Area Sales Manager","Melanie Garcia",SVG,Active,Full-Time,Involuntary,Sales,"Field Operations",1991-10-27,IN,Male,Exceeds,2,3541,1,3,3,2023-05-22,"Customer Service",External,Passed,"Ronald Butler",4,380.3
Abagail,Banks,2021-05-10,2023-04-10,"Production Technician I","Austin Salas",MSC,Active,Full-Time,Retirement,Production,"General - Eng",1986-12-15,MA,Male,"Fully Meets",3,1502,5,3,5,2023-03-08,"Technical Skills",Internal,Failed,"Lindsey Maldonado",4,245
Abagail,Moran,2019-08-24,NULL,"Production Technician II","Caitlin Stokes",NEL,Active,Contract,Unk,Production,Engineers,1992-04-24,MA,Female,Exceeds,4,2114,5,4,1,2023-02-26,"Communication Skills",External,Completed,"Jonathan Davis",2,326.98
Abagail,Villanueva,2019-10-15,NULL,"Area Sales Manager","Whitney Ross",WBL,Active,Full-Time,Unk,Sales,Aerial,1997-02-09,NY,Male,"Fully Meets",5,2713,5,2,4,2023-04-09,"Technical Skills",External,Completed,"Matthew Parker",3,193.48
Abbigail,Blanchard,2021-05-09,2022-11-12,"Production Technician I","Karen Pugh",PL,Active,Contract,Voluntary,Production,"Finance & Accounting",1960-11-25,MA,Male,"Fully Meets",3,1823,4,4,3,2023-07-10,"Leadership Development",Internal,Completed,"Shirley Ali",4,977.99
Abbigail,Cameron,2020-03-19,NULL,"Production Manager","Mrs. Leslie Simmons",MSC,Active,Full-Time,Unk,Production,"People Services",1947-03-17,MA,Female,"Fully Meets",3,1232,2,1,5,2022-11-30,"Leadership Development",Internal,Incomplete,"Jill Fox DVM",4,857.61
Abbigail,Solis,2019-06-28,2021-12-16,"Production Technician I","Mary Rivera",TNS,"Voluntarily Terminated",Part-Time,Resignation,Production,"Field Operations",1992-04-07,MA,Male,"Fully Meets",3,3335,5,1,3,2023-03-17,"Project Management",Internal,Incomplete,"Linda Cunningham",5,388.61
Abby,Curtis,2020-01-09,2022-03-10,"Production Technician I","Lori Mason",BPC,Active,Contract,Voluntary,Production,"Yard (Material Handling)",1960-03-02,MA,Male,"Fully Meets",3,1824,3,1,1,2022-09-16,"Leadership Development",External,Completed,"Jessica Spencer",5,136.33
Abby,Estes,2018-12-04,2022-07-01,"Production Technician II","Anne Gomez",PYZ,"Voluntarily Terminated",Contract,Voluntary,Production,"Wireline Construction",2000-09-04,MA,Male,"Fully Meets",4,3238,5,3,5,2023-02-08,"Project Management",External,Incomplete,"Alexander Tanner",2,964.12
Abby,Woodward,2019-06-19,NULL,"IT Support","Karen Elliott",NEL,Active,Part-Time,Unk,IT/IS,"Field Operations",1992-11-12,MA,Male,"Fully Meets",3,3881,5,3,5,2022-10-25,"Project Management",External,Failed,"Beth Hughes",3,170.61
Abdellah,Veera,2020-12-25,2023-03-08,"Production Technician I","Jeffrey Gray",CCDR,"Voluntarily Terminated",Contract,Resignation,Production,"Field Operations",1973-09-04,MA,Male,"Fully Meets",2,3208,5,1,3,2023-04-03,"Leadership Development",Internal,Passed,"Ruben Lopez",2,955.32
Abdiel,Good,2020-03-15,NULL,"Area Sales Manager","Jessica Harrison",NEL,Active,Contract,Unk,Sales,Splicing,1991-07-14,NY,Male,"Fully Meets",4,2665,1,5,5,2022-09-03,"Communication Skills",Internal,Completed,"William Graham",4,786.38
Abdullah,Arellano,2019-02-21,2022-10-21,"IT Manager - DB","Jacob Christian",SVG,Active,Part-Time,Resignation,IT/IS,"Field Operations",1967-11-08,MA,Female,Exceeds,4,2218,4,1,5,2022-12-27,"Technical Skills",Internal,Incomplete,"Brian Turner",5,222.99
Abdullah,Ellison,2021-11-23,2023-05-29,"Production Technician I","Dr. William Thompson",SVG,"Future Start",Contract,Voluntary,Production,"Field Operations",1998-11-14,MA,Female,"Needs Improvement",5,3591,2,1,4,2023-03-01,"Customer Service",Internal,Failed,"Amy Murray",1,247.01
Abdullah,Frederick,2020-11-14,NULL,"Shared Services Manager","Jessica Lewis",NEL,Active,Part-Time,Unk,"Software Engineering",Fielders,1988-08-04,MA,Male,"Fully Meets",3,1080,3,1,3,2023-04-22,"Customer Service",External,Passed,"Sandra Joseph",4,199.14
Abdullah,Pruitt,2022-04-23,NULL,"Production Technician I","John Jones",PL,Active,Full-Time,Unk,Production,Aerial,1995-04-17,MA,Male,"Fully Meets",3,3637,2,1,3,2023-03-21,"Project Management",External,Completed,"Timothy Taylor",4,977.23
Abel,Baker,2023-06-16,NULL,"Principal Data Architect","Amy Duncan",CCDR,Active,Contract,Unk,IT/IS,"Field Operations",1995-09-26,MA,Female,"Fully Meets",3,3900,5,2,1,2023-05-02,"Technical Skills",Internal,Passed,"Anthony Smith",5,143.21
Abel,Bush,2020-03-08,2023-02-26,"IT Director","John Jones",NEL,Active,Contract,Resignation,IT/IS,Fielders,1970-01-26,MA,Male,"Fully Meets",1,2495,5,1,2,2022-08-27,"Project Management",Internal,Incomplete,"Douglas Silva",3,180.44
